User_ID,percChange_1617,percChange_1718,percChange_1819,cluster_IDX,age,household_size,ownership,number_pets,household_has_garden,household_garden_area,household_has_pool,household_pool_volume,children9,children5_9,children0_4,number_bathrooms,number_adults,environmental_attitude,hausehold_has_irrigation_system,house_has_plants,balcony_has_plants,balcony_has_irrigation,number_toilets,number_faucets,number_bathtubs,number_showers,number_tub_showers,number_dishwasher_simple,number_washing_machine_simple,number_ClothesWasher,clothesWasher_efficiency,clothesWasher_ecomode,clothesWasher_timer,number_DishWasher,dishWasher_efficiency,dishWasher_ecomode,dishWasher_timer
AGM02046737001,-3.691741850731103,-4.026420051136329,9.518407450707318,6,45.0,95.0,True,2.0,False,0.0,False,0.0,0.0,1.0,1.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,A++,0.0,0.0,1.0,A+++,0.0,0.0
AGM02050693002,-10.730792895858539,-17.680539384436102,-3.6895513978288963,5,11.0,90.0,True,1.0,False,0.0,False,0.0,1.0,1.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A++,1.0,0.0
AGM02058237001,22.336768683630673,179.30373437619838,724.7793158034664,6,40.0,70.0,False,1.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,2.0,High environmental sensitivity,False,True,True,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,A+,1.0,0.0,1.0,A+,1.0,0.0
AGM02058819001,-0.7954783679303165,-7.161127291542013,-9.028370905709945,3,12.0,120.0,True,0.0,False,0.0,True,300.0,2.0,0.0,0.0,2.0,4.0,High environmental sensitivity,False,True,True,False,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A++,1.0,1.0
AGM02063485001,-4.108433090854985,-24.67974764130336,-14.52467752751519,3,11.0,90.0,True,0.0,True,20.0,False,0.0,0.0,0.0,1.0,2.0,2.0,Medium environmental sensitivity,False,False,True,False,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,A+,1.0,0.0,1.0,A+,1.0,1.0
AGM02064223003,-22.447022568552082,34.516300393545244,99.81005187756115,9,35.0,90.0,True,0.0,False,0.0,False,0.0,0.0,1.0,1.0,2.0,2.0,Medium environmental sensitivity,False,True,False,False,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,A+++,1.0,1.0,0.0,0,0.0,0.0
AGM02070537001,10.617870876988476,22.17318396203954,12.56163384585067,8,10.0,150.0,False,0.0,False,0.0,True,60.0,1.0,1.0,0.0,2.0,2.0,Medium environmental sensitivity,False,True,True,False,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,A++,1.0,0.0,1.0,A++,1.0,0.0
AGM02070939001,-7.8535451149303315,10.482300904060986,33.4399836539434,9,80.0,75.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,Low environmental sensitivity,False,False,True,False,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,B,0.0,0.0,0.0,0,0.0,0.0
AGM02075114001,9.247985294418386,-2.746967849839822,-12.34822005857738,1,10.0,75.0,True,0.0,False,0.0,False,0.0,0.0,1.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,A+++,1.0,0.0,1.0,A+++,1.0,0.0
AGM02075988002,-6.263664995979705,21.09323458142284,9.857943714807215,8,10.0,160.0,True,0.0,False,0.0,False,0.0,0.0,0.0,1.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,A+++,1.0,1.0,1.0,A+++,1.0,1.0
